Format Version,1.23,Take Name,Take 2023-03-21 11.52.33 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-03-21 11.52.33.914 A.M.,Capture Start Frame,8546461,Total Frames in Take,1907,Total Exported Frames,1907,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Robot,Robot,Robot,Robot,Robot,Robot
,ID,"9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
222,1.850000,-179.962601,2.329992,-178.945450,-2194.255859,125.892860,13.991450
223,1.858333,-179.957809,2.325759,-178.946243,-2194.254883,125.878258,13.991070
224,1.866667,-179.965698,2.330019,-178.948196,-2194.256348,125.886826,14.006264
225,1.875000,-179.957657,2.318531,-178.938034,-2194.277100,125.906349,14.012326
226,1.883333,-179.964447,2.327397,-178.946808,-2194.254395,125.886696,13.999247
227,1.891667,-179.958801,2.311898,-178.938553,-2194.271729,125.900131,13.988479
228,1.900000,-179.964935,2.326320,-178.944687,-2194.250000,125.890625,13.994616
229,1.908333,-179.954376,2.326290,-178.943863,-2194.252686,125.886559,14.004558
230,1.916667,-179.951981,2.317294,-178.941025,-2194.281006,125.901314,14.005154
231,1.925000,-179.952057,2.313592,-178.936554,-2194.275635,125.891640,14.001353
232,1.933333,-179.967316,2.325925,-178.948776,-2194.246826,125.883308,13.995784
233,1.941667,-179.957306,2.331019,-178.944168,-2194.252197,125.894081,14.004214
234,1.950000,-179.962311,2.330338,-178.948441,-2194.257324,125.885216,13.998768
235,1.958333,-179.964096,2.328241,-178.947083,-2194.257324,125.874847,13.996483
236,1.966667,-179.961151,2.327965,-178.943726,-2194.256104,125.873413,14.003939
237,1.975000,-179.959641,2.313802,-178.933731,-2194.275391,125.894203,14.006516
238,1.983333,-179.964645,2.328907,-178.946594,-2194.255127,125.879707,13.990002
239,1.991667,-179.965424,2.327540,-178.950897,-2194.254883,125.883324,13.982330
240,2.000000,-179.962952,2.327528,-178.947495,-2194.251465,125.890526,13.990145
241,2.008333,-179.966354,2.331570,-178.949661,-2194.253662,125.882301,14.003869
242,2.016667,-179.955948,2.315826,-178.934891,-2194.281982,125.892296,14.014091
243,2.025000,-179.961609,2.327402,-178.947632,-2194.263916,125.873238,13.998639
244,2.033333,-179.962936,2.327306,-178.943695,-2194.249756,125.889526,13.987302
245,2.041667,-179.967178,2.324838,-178.952515,-2194.243408,125.895233,13.993376
246,2.050000,-179.962662,2.328062,-178.947983,-2194.253174,125.893829,13.998466
