Format Version,1.23,Take Name,Take 2023-03-16 11.51.58 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-03-16 11.51.58.483 A.M.,Capture Start Frame,7031220,Total Frames in Take,2479,Total Exported Frames,2479,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,outer,outer,outer,outer,outer,outer,inner,inner,inner,inner,inner,inner,Robot,Robot,Robot,Robot,Robot,Robot
,ID,"4E59680EA26511ED1061CE48FBDC5DB3","4E59680EA26511ED1061CE48FBDC5DB3","4E59680EA26511ED1061CE48FBDC5DB3","4E59680EA26511ED1061CE48FBDC5DB3","4E59680EA26511ED1061CE48FBDC5DB3","4E59680EA26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
130,1.083333,,,,,,,,,,,,,1.306232,-0.292264,0.312101,-19.881458,101.686165,-20.791149
131,1.091667,,,,,,,,,,,,,1.286189,-0.285039,0.332883,-19.878828,101.680405,-20.786345
132,1.100000,,,,,,,,,,,,,1.311155,-0.289157,0.319569,-19.885349,101.670509,-20.775642
133,1.108333,,,,,,,,,,,,,1.313731,-0.289382,0.332050,-19.908541,101.679832,-20.777256
134,1.116667,,,,,,,,,,,,,1.390056,-0.251205,0.386305,-19.936443,101.598602,-20.682043
135,1.125000,,,,,,,,,,,,,1.320066,-0.286750,0.328870,-19.940016,101.671638,-20.753248
136,1.133333,,,,,,,,,,,,,1.324418,-0.290876,0.329974,-19.949333,101.684494,-20.763254
137,1.141667,,,,,,,,,,,,,1.386203,-0.249620,0.379130,-19.966539,101.626579,-20.699957
138,1.150000,,,,,,,,,,,,,1.311994,-0.281808,0.330236,-19.952223,101.687653,-20.779715
139,1.158333,,,,,,,,,,,,,1.305417,-0.280887,0.329716,-19.939842,101.670105,-20.780066
140,1.166667,,,,,,,,,,,,,1.321323,-0.275054,0.318920,-19.921080,101.657532,-20.779953
141,1.175000,,,,,,,,,,,,,1.355618,-0.215554,0.402819,-19.920019,101.593750,-20.731050
142,1.183333,,,,,,,,,,,,,1.330844,-0.277334,0.324078,-19.902693,101.658165,-20.782660
143,1.191667,,,,,,,,,,,,,1.328317,-0.281648,0.314278,-19.900093,101.651039,-20.768600
144,1.200000,,,,,,,,,,,,,1.385524,-0.238043,0.377070,-19.918638,101.584557,-20.696060
145,1.208333,,,,,,,,,,,,,1.324944,-0.281225,0.314939,-19.906311,101.658768,-20.775158
146,1.216667,,,,,,,,,,,,,1.316490,-0.277035,0.333426,-19.914707,101.685020,-20.781481
147,1.225000,,,,,,,,,,,,,1.319120,-0.278113,0.332057,-19.912592,101.653687,-20.762335
